	(1)	(2)	(3)	(4)
VARIABLES	Specification 1	Specification 2	Specification 3	Specification 4
				
educ	0.0711***	0.0711***	0.0632***	0.0632***
	(0.0704 - 0.0717)	(0.0704 - 0.0717)	(0.0625 - 0.0640)	(0.0625 - 0.0640)
yr20	0.0482***	0.103***	0.0306***	0.0888**
	(0.0387 - 0.0577)	(0.0321 - 0.175)	(0.0214 - 0.0399)	(0.0193 - 0.158)
yr21	0.0418***	0.0971***	0.0266***	0.0845***
	(0.0320 - 0.0515)	(0.0331 - 0.161)	(0.0171 - 0.0361)	(0.0222 - 0.147)
yr22	0.0333***	0.0873***	0.0222***	0.0782***
	(0.0237 - 0.0429)	(0.0290 - 0.146)	(0.0128 - 0.0315)	(0.0217 - 0.135)
yr23	0.0306***	0.0816***	0.0223***	0.0750***
	(0.0209 - 0.0403)	(0.0284 - 0.135)	(0.0130 - 0.0316)	(0.0237 - 0.126)
yr24	0.0272***	0.0736***	0.0195***	0.0672***
	(0.0175 - 0.0368)	(0.0257 - 0.121)	(0.0101 - 0.0288)	(0.0211 - 0.113)
yr25	0.0153***	0.0556***	0.00982**	0.0511**
	(0.00571 - 0.0248)	(0.0137 - 0.0974)	(0.000530 - 0.0191)	(0.0108 - 0.0914)
yr26	0.0164***	0.0490***	0.0103**	0.0436**
	(0.00682 - 0.0259)	(0.0143 - 0.0837)	(0.00109 - 0.0194)	(0.0103 - 0.0768)
yr27	0.0115**	0.0347***	0.00760*	0.0313**
	(0.00199 - 0.0209)	(0.00878 - 0.0607)	(-0.00140 - 0.0166)	(0.00642 - 0.0562)
yr28	0.0113**	0.0237***	0.00847*	0.0211***
	(0.00189 - 0.0207)	(0.00757 - 0.0399)	(-0.000453 - 0.0174)	(0.00559 - 0.0367)
race			-0.257***	-0.257***
			(-0.266 - -0.248)	(-0.266 - -0.248)
married			0.248***	0.248***
			(0.241 - 0.255)	(0.241 - 0.255)
smsa			-0.176***	-0.176***
			(-0.182 - -0.170)	(-0.182 - -0.170)
neweng			-0.113***	-0.113***
			(-0.124 - -0.103)	(-0.124 - -0.103)
midatl			-0.0528***	-0.0528***
			(-0.0607 - -0.0449)	(-0.0606 - -0.0449)
enocent			0.0160***	0.0160***
			(0.00836 - 0.0236)	(0.00834 - 0.0236)
wnocent			-0.108***	-0.108***
			(-0.118 - -0.0977)	(-0.118 - -0.0978)
soatl			-0.139***	-0.139***
			(-0.147 - -0.131)	(-0.148 - -0.131)
esocent			-0.164***	-0.164***
			(-0.175 - -0.153)	(-0.175 - -0.153)
wsocent			-0.103***	-0.103***
			(-0.113 - -0.0938)	(-0.113 - -0.0939)
mt			-0.0921***	-0.0921***
			(-0.103 - -0.0809)	(-0.103 - -0.0809)
ageq		-0.0772		-0.0760
		(-0.199 - 0.0445)		(-0.194 - 0.0417)
ageqsq		0.000787		0.000770
		(-0.000561 - 0.00214)		(-0.000536 - 0.00208)
Constant	4.969***	6.805***	4.986***	6.801***
	(4.958 - 4.980)	(4.078 - 9.532)	(4.971 - 5.000)	(4.167 - 9.434)
				
Observations	329,509	329,509	329,509	329,509
R-squared	0.118	0.118	0.165	0.165
ci in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
